r	U
1,75	80,50121655
1,76	74,60435868
1,77	69,13518506
1,78	64,06160537
1,79	59,35405482
1,8	54,98528481
1,81	50,93017186
1,82	47,16554323
1,83	43,67001754
1,84	40,42385909
1,85	37,4088447
1,86	34,60814186
1,87	32,00619721
1,88	29,58863446
1,89	27,34216082
1,9	25,25448129
1,91	23,31422013
1,92	21,51084869
1,93	19,83461937
1,94	18,27650481
1,95	16,82814222
1,96	15,48178213
1,97	14,23024127
1,98	13,06685938
1,99	11,98545931
2	10,98031046
2,01	10,04609502
2,02	9,177876948
2,03	8,371073358
2,04	7,621428182
2,05	6,924987871
2,06	6,278078993
2,07	5,677287575
2,08	5,119440035
2,09	4,601585579
2,1	4,120979951
2,11	3,675070421
2,12	3,261481914
2,13	2,878004186
2,14	2,522579974
2,15	2,193294029
2,16	1,888362973
2,17	1,606125915
2,18	1,345035755
2,19	1,103651142
2,2	0,880629016
2,21	0,674717705
2,22	0,484750521
2,23	0,309639828
2,24	0,148371536
2,25	0
2,26	-0,136356721
2,27	-0,261521255
2,28	-0,376261003
2,29	-0,481291923
2,3	-0,577282055
2,31	-0,664854788
2,32	-0,744591898
2,33	-0,817036377
2,34	-0,882695053
2,35	-0,942041039
2,36	-0,995516
2,37	-1,043532268
2,38	-1,08647481
2,39	-1,124703058
2,4	-1,158552614
2,41	-1,188336838
2,42	-1,214348326
2,43	-1,236860287
2,44	-1,256127829
2,45	-1,272389152
2,46	-1,285866664
2,47	-1,296768026
2,48	-1,305287113
2,49	-1,311604926
2,5	-1,315890431
2,51	-1,318301349
2,52	-1,31898489
2,53	-1,318078438
2,54	-1,315710193
2,55	-1,311999768
2,56	-1,307058747
2,57	-1,300991206
2,58	-1,293894203
2,59	-1,28585823
2,6	-1,27696764
2,61	-1,267301043
2,62	-1,25693168
2,63	-1,245927769
2,64	-1,23435283
2,65	-1,222265987
2,66	-1,209722256
2,67	-1,196772807
2,68	-1,183465214
2,69	-1,169843687
2,7	-1,155949292
2,71	-1,14182015
2,72	-1,127491631
2,73	-1,112996532
2,74	-1,098365242
2,75	-1,083625901
2,76	-1,068804544
2,77	-1,053925239
2,78	-1,039010214
2,79	-1,02407998
2,8	-1,009153439
2,81	-0,994247993
2,82	-0,979379643
2,83	-0,964563078
2,84	-0,949811762
