t	U
0	3,645
1	3,634
2	3,624
3	3,619
4	3,613
5	3,608
6	3,603
7	3,598
8	3,592
9	3,587
11	3,582
12	3,577
14	3,571
16	3,566
17	3,561
19	3,556
21	3,550
23	3,545
26	3,540
28	3,535
31	3,529
33	3,524
36	3,519
39	3,514
42	3,508
46	3,503
49	3,498
53	3,493
57	3,487
61	3,482
65	3,477
69	3,472
73	3,466
78	3,461
83	3,456
88	3,451
93	3,445
98	3,440
104	3,435
109	3,430
115	3,424
120	3,419
126	3,414
132	3,409
138	3,403
144	3,398
151	3,393
157	3,388
163	3,382
169	3,377
176	3,372
182	3,367
189	3,361
196	3,356
203	3,351
210	3,346
217	3,340
224	3,335
231	3,330
238	3,325
246	3,319
254	3,314
262	3,309
269	3,304
277	3,298
285	3,293
293	3,287
300	3,282
308	3,277
316	3,272
323	3,266
331	3,261
339	3,256
347	3,251
355	3,245
363	3,240
371	3,235
379	3,230
388	3,224
396	3,219
405	3,214
413	3,209
422	3,203
431	3,198
440	3,193
449	3,188
459	3,182
469	3,177
479	3,172
489	3,167
499	3,161
510	3,156
521	3,151
533	3,146
544	3,140
556	3,135
569	3,130
581	3,125
594	3,119
606	3,114
620	3,109
632	3,104
645	3,098
658	3,093
671	3,088
683	3,083
697	3,077
710	3,072
722	3,067
735	3,062
747	3,056
760	3,051
772	3,046
785	3,041
797	3,035
809	3,030
821	3,025
833	3,020
845	3,014
857	3,009
868	3,004
881	2,999
893	2,993
905	2,988
916	2,983
928	2,978
940	2,972
951	2,967
963	2,962
974	2,957
986	2,951
998	2,946
1010	2,941
1022	2,936
1034	2,930
1046	2,925
1058	2,920
1070	2,915
1082	2,909
1094	2,904
1107	2,899
1119	2,894
1131	2,888
1144	2,883
1156	2,878
1168	2,873
1181	2,867
1194	2,862
1207	2,857
1220	2,852
1233	2,846
1246	2,841
1259	2,836
1272	2,831
1285	2,825
1299	2,820
1311	2,815
1325	2,810
1338	2,804
1351	2,799
1365	2,794
1378	2,789
1393	2,783
1405	2,778
1419	2,773
1432	2,768
1446	2,762
1460	2,757
1473	2,752
1487	2,747
1501	2,741
1515	2,736
1529	2,731
1542	2,726
1556	2,720
1570	2,715
1584	2,710
1598	2,705
1613	2,699
1627	2,694
1642	2,689
1658	2,684
1673	2,678
1688	2,673
1703	2,668
1718	2,663
1734	2,657
1750	2,652
1766	2,647
1782	2,641
1798	2,636
1815	2,631
1831	2,626
1847	2,620
1864	2,615
1881	2,610
1898	2,605
1915	2,599
1933	2,594
1950	2,589
1968	2,584
1987	2,578
2006	2,573
2026	2,568
2047	2,563
2067	2,557
2088	2,552
2110	2,547
2132	2,542
2153	2,536
2176	2,531
2197	2,526
2220	2,521
2241	2,515
2263	2,510
2285	2,505
2308	2,500
2331	2,494
2354	2,489
2378	2,484
2403	2,479
2428	2,473
2453	2,468
2479	2,463
2506	2,458
2534	2,452
2561	2,447
2589	2,442
2619	2,437
2649	2,432
2675	2,427
2705	2,422
2735	2,417
2765	2,413
2794	2,408
2824	2,403
2854	2,399
2885	2,394
2915	2,390
2945	2,386
2975	2,382
3005	2,378
3036	2,373
3066	2,370
3096	2,366
3126	2,362
3156	2,358
3187	2,354
3217	2,350
3247	2,347
3277	2,343
3307	2,340
3338	2,336
3368	2,333
3398	2,329
3428	2,326
3458	2,323
3489	2,320
3519	2,316
3549	2,313
3579	2,311
3609	2,308
3640	2,305
3670	2,301
3700	2,299
3730	2,296
3760	2,293
3791	2,290
3821	2,288
3851	2,285
3881	2,283
3911	2,280
3942	2,277
3972	2,274
4002	2,272
4032	2,270
4062	2,267
4093	2,265
4123	2,262
4153	2,260
4183	2,257
4213	2,256
4244	2,253
4274	2,251
4304	2,249
4334	2,247
4364	2,244
4395	2,242
4425	2,240
4455	2,238
4485	2,236
4515	2,234
4546	2,232
4576	2,229
4606	2,227
4636	2,225
4666	2,223
4697	2,222
4727	2,219
4757	2,217
4787	2,215
4817	2,213
4848	2,211
4878	2,209
4908	2,207
4938	2,205
4968	2,203
4999	2,201
5029	2,199
5059	2,197
5089	2,194
5119	2,192
5150	2,190
5180	2,189
5210	2,186
5240	2,184
5270	2,182
5301	2,180
5331	2,178
5361	2,176
5391	2,173
5421	2,172
5452	2,169
5482	2,167
5512	2,165
5542	2,163
5572	2,161
5603	2,159
5633	2,156
5663	2,154
5693	2,152
5723	2,150
5754	2,148
5784	2,145
5814	2,143
5844	2,141
5874	2,138
5905	2,136
5935	2,134
5965	2,131
5995	2,129
6025	2,127
6056	2,125
6086	2,122
6116	2,120
6146	2,118
6176	2,115
6207	2,113
6237	2,110
6267	2,108
6297	2,106
6327	2,103
6358	2,101
6388	2,099
6418	2,096
6448	2,094
6478	2,091
6509	2,089
6539	2,087
6569	2,084
6599	2,081
6629	2,079
6660	2,076
6690	2,074
6720	2,071
6750	2,068
6780	2,066
6811	2,063
6841	2,060
6871	2,058
6901	2,055
6931	2,053
6962	2,050
6992	2,048
7022	2,045
7052	2,043
7082	2,040
7113	2,037
7143	2,035
7173	2,032
7203	2,029
7233	2,027
7264	2,024
7294	2,021
7324	2,018
7354	2,016
7384	2,013
7415	2,011
7445	2,008
7475	2,005
7505	2,003
7535	2,000
7566	1,997
7596	1,994
7626	1,991
7656	1,989
7686	1,986
7717	1,984
7747	1,981
7777	1,979
7807	1,975
7837	1,973
7868	1,970
7898	1,968
7928	1,965
7958	1,962
7988	1,959
8019	1,957
8049	1,954
8079	1,951
8109	1,949
8139	1,946
8170	1,943
8200	1,941
8230	1,938
8260	1,935
8290	1,933
8321	1,930
8351	1,927
8381	1,924
8411	1,922
8441	1,920
8472	1,917
8502	1,914
8532	1,911
8562	1,909
8592	1,906
8623	1,903
8653	1,901
8683	1,898
8713	1,895
8743	1,893
8773	1,890
8804	1,888
8834	1,886
8864	1,883
8894	1,880
8924	1,878
8955	1,875
8985	1,873
9015	1,870
9045	1,868
9075	1,865
9106	1,863
9136	1,861
9166	1,858
9196	1,856
9226	1,853
9257	1,851
9287	1,849
9317	1,847
9347	1,844
9377	1,842
9408	1,839
9438	1,837
9468	1,835
9498	1,833
9528	1,831
9559	1,829
9589	1,827
9619	1,825
9649	1,822
9679	1,820
9710	1,818
9740	1,817
9770	1,815
9800	1,813
9830	1,811
9861	1,809
9891	1,807
9921	1,806
9951	1,804
9981	1,802
10012	1,801
10042	1,799
10072	1,797
10102	1,795
10132	1,794
10163	1,793
10193	1,791
10223	1,790
10253	1,788
10283	1,787
10314	1,786
10344	1,784
10374	1,783
10404	1,782
10434	1,781
10465	1,779
10495	1,778
10525	1,777
10555	1,776
10585	1,774
10616	1,773
10646	1,772
10676	1,771
10706	1,770
10736	1,769
10767	1,767
10797	1,766
10827	1,766
10857	1,764
10887	1,763
10918	1,762
10948	1,761
10978	1,759
11008	1,759
11038	1,758
11069	1,756
11099	1,755
11129	1,754
11159	1,753
11189	1,751
11220	1,751
11250	1,749
11280	1,749
11310	1,747
11340	1,746
11371	1,745
11401	1,743
11431	1,742
11461	1,741
11491	1,740
11522	1,738
11552	1,738
11582	1,736
11612	1,735
11642	1,733
11673	1,732
11703	1,730
11733	1,730
11763	1,728
11793	1,727
11824	1,725
11854	1,724
11884	1,723
11914	1,722
11944	1,721
11975	1,719
12005	1,718
12035	1,716
12065	1,714
12095	1,713
12126	1,712
12156	1,710
12186	1,709
12216	1,707
12246	1,706
12277	1,704
12307	1,702
12337	1,701
12367	1,699
12397	1,697
12428	1,696
12458	1,693
12488	1,692
12518	1,690
12548	1,688
12579	1,687
12609	1,685
12639	1,683
12669	1,681
12699	1,679
12730	1,677
12760	1,675
12790	1,673
12820	1,671
12850	1,669
12881	1,667
12911	1,665
12941	1,663
12971	1,661
13001	1,658
13032	1,657
13062	1,654
13092	1,652
13122	1,649
13152	1,647
13183	1,645
13213	1,642
13243	1,640
13273	1,637
13303	1,635
13334	1,632
13364	1,629
13394	1,627
13424	1,624
13454	1,621
13485	1,618
13515	1,616
13545	1,612
13575	1,609
13605	1,606
13636	1,603
13666	1,600
13696	1,596
13726	1,593
13756	1,590
13787	1,586
13817	1,582
13847	1,579
13877	1,575
13907	1,571
13938	1,567
13968	1,563
13998	1,559
14028	1,555
14058	1,551
14089	1,546
14119	1,542
14149	1,538
14179	1,533
14209	1,528
14240	1,524
14268	1,519
14298	1,514
14327	1,509
14357	1,504
14378	1,500
